_ - name,_ - _line,_ - retrieved_at,_ - company_number,cp_number_wikidata,_ - current_status,_ - jurisdiction_code,_ - registered_address,street,postal_code,city,_ - all_attributes - registrar,_ - all_attributes - _registerArt,_ - all_attributes - federal_state,_ - all_attributes - _registerNummer,_ - all_attributes - native_company_number,_ - all_attributes - registered_office,_ - all_attributes - former_registrar,_ - all_attributes - _registerNummerSuffix,_ - all_attributes - additional_data - AD,_ - all_attributes - additional_data - CD,_ - all_attributes - additional_data - DK,_ - all_attributes - additional_data - HD,_ - all_attributes - additional_data - SI,_ - all_attributes - additional_data - UT,_ - all_attributes - additional_data - VÖ,_ - all_attributes - additional_data - ,_ - all_attributes - additional_data - Note:,_ - officers - _ - name,_ - officers - _ - type,_ - officers - _ - position,_ - officers - _ - start_date,_ - officers - _ - end_date,_ - officers - _ - other_attributes - firstname,_ - officers - _ - other_attributes - lastname,_ - officers - _ - other_attributes - city,_ - officers - _ - other_attributes - dismissed,_ - officers - _ - other_attributes - flag,_ - officers - _ - other_attributes - reference_no,_ - officers - _ - other_attributes - title,_ - officers - _ - other_attributes - maidenname,_ - previous_names - _ - company_name,_ - subsequent_registrations - _ - data_type,_ - subsequent_registrations - _ - confidence,_ - subsequent_registrations - _ - source_url,_ - subsequent_registrations - _ - start_date,_ - subsequent_registrations - _ - retrieved_at,_ - subsequent_registrations - _ - start_date_type,_ - subsequent_registrations - _ - publication_date,_ - subsequent_registrations - _ - subsequent_registration_start_date,_ - subsequent_registrations - _ - previous_entity - entity_type,_ - subsequent_registrations - _ - previous_entity - entity_properties - company_number,_ - subsequent_registrations - _ - previous_entity - entity_properties - jurisdiction_code,_ - subsequent_registrations - _ - subsequent_entity - entity_type,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - company_number,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - jurisdiction_code,_ - alternate_registrations - _ - data_type,_ - alternate_registrations - _ - confidence,_ - alternate_registrations - _ - source_url,_ - alternate_registrations - _ - start_date,_ - alternate_registrations - _ - sample_date,_ - alternate_registrations - _ - retrieved_at,_ - alternate_registrations - _ - start_date_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - company_number,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - jurisdiction_code
MH Airpromotions Flugsysteme Michael Hegerkamp e.K.,2558753,2018-06-23T10:51:26Z,T2210V_HRA4377,de/T2210V_HRA4377,removed,de,Emser Str.,Emser Str.,,,Koblenz,HRA,Rhineland-Palatinate,4377,Koblenz HRA 4377,Koblenz,,,false,true,true,true,false,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium Call KG,2558763,2018-06-23T10:51:26Z,W1215_HRA4377,de/W1215_HRA4377,currently registered,de,Bahnhofstr.,Bahnhofstr.,,,Stendal,HRA,Saxony-Anhalt,4377,Stendal HRA 4377,Magdeburg,,,true,true,true,false,true,true,true,,,Anita Tennert,person,Prokurist,,2015-06-17,Anita,Tennert,Magdeburg,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katrin Stehr,person,Prokurist,,2017-11-29,Katrin,Stehr,Magdeburg,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anita Tennert,person,Prokurist,2014-08-29,,Anita,Tennert,Magdeburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bauer Komplementär KG, Hamburg (Amtsgericht Hamburg HRA 112073).",company,Persönlich haftender Gesellschafter,2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judith Stolze,person,Prokurist,2017-11-29,,Judith,Stolze,Magdeburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katrin Stehr,person,Prokurist,2015-06-17,,Katrin,Stehr,Magdeburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICO DESIGN Verwaltungs GmbH,2558768,2018-06-23T10:51:26Z,R2809_HRB4377,de/R2809_HRB4377,currently registered,de,Industriestr.,Industriestr.,,,Paderborn,HRB,North Rhine-Westphalia,4377,Paderborn HRB 4377,Brakel,,,true,true,true,true,true,true,true,,,Yvonne Jacoby,person,Geschäftsführer,2013-06-20,,Yvonne,Jacoby,Paderborn,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,TAP -Tapisserie-Service Gesellschaft mit beschränkter Haftung,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAP-Service GmbH,,,,,,,,,,,,,,,,,,,,,,,,
Springer Landschaftsbau GmbH,2558783,2018-06-23T10:51:26Z,W1215_HRB4377,de/W1215_HRB4377,currently registered,de,Dorfstr.,Dorfstr.,,,Stendal,HRB,Saxony-Anhalt,4377,Stendal HRB 4377,Rösa,,,true,true,true,false,true,true,true,,,Sandra Bauermeister,person,Geschäftsführer,,2005-07-14,Sandra,Bauermeister,Greppin,true,,,,,Gartenwiesel GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sören Springer,person,Geschäftsführer,2005-07-14,,Sören,Springer,Gräfenhainichen,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eichener Brauerei Gebr. Schweisfurth GmbH,2558842,2018-06-23T10:52:37Z,R2909_HRB4378,de/R2909_HRB4378,removed,de,Eichener Str.,Eichener Str.,,,Siegen,HRB,North Rhine-Westphalia,4378,Siegen HRB 4378,Kreuztal,,,false,true,true,true,false,true,true,,,,,,,,,,,,,,,,Schweisfurth Verwaltungs- und Beteiligungsgesellschaft mbH,,,,,,,,,,,,,,,,,,,,,,,,
Emdatec GmbH,2558845,2018-06-23T10:52:37Z,R2706_HRB4378,de/R2706_HRB4378,currently registered,de,Gutenbergstr.,Gutenbergstr.,,,Steinfurt,HRB,North Rhine-Westphalia,4378,Steinfurt HRB 4378,Emsdetten,,,true,true,true,true,true,true,true,,,Fabian Löckener,person,Geschäftsführer,2016-09-12,,Fabian,Löckener,Greven,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,AGL - Agnischock und Löckener GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Hartmann,person,Prokurist,2018-06-07,,Michael,Hartmann,Halle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malerische Villa Event Management GmbH,2558909,2018-06-23T10:52:37Z,D3201V_HRB4378,de/D3201V_HRB4378,currently registered,de,Bechhofener Str.,Bechhofener Str.,,,Ansbach,HRB,Bavaria,4378,Ansbach HRB 4378,Dinkelsbühl,,,true,true,true,false,true,true,true,,,Frank Claußen,person,Geschäftsführer,,2010-01-04,Frank,Claußen,Wahlstedt,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Claußen,person,Geschäftsführer,2007-10-23,,Frank,Claußen,Wahlstedt,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicole Kraus,person,Geschäftsführer,2010-01-04,,Nicole,Kraus,Dinkelsbühl,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR Hochfranken Logistik e.K.,2558943,2018-06-23T10:52:37Z,D4501V_HRA4378,de/D4501V_HRA4378,currently registered,de,Königsberger Str.,Königsberger Str.,,,Hof,HRA,Bavaria,4378,Hof HRA 4378,Schwarzenbach/Saae,,,true,true,true,false,true,true,true,,,Susanne Rübig,person,Inhaber,2011-12-12,,Susanne,Rübig,Schwarzenbach/Saale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valé Beauty & Care OHG,2558958,2018-06-23T10:52:37Z,R2507_HRA4378,de/R2507_HRA4378,removed,de,Augustin-Wibbelt-Str.,Augustin-Wibbelt-Str.,,,Gelsenkirchen,HRA,North Rhine-Westphalia,4378,Gelsenkirchen HRA 4378,Gelsenkirchen,,,false,true,true,false,false,true,true,,,Pascal Littek,person,Liquidator,2015-02-05,,Pascal,Littek,Gelsenkirchen,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pascal Littek,person,Persönlich haftender Gesellschafter,2015-02-05,,Pascal,Littek,Gelsenkirchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pascal Powel,person,Persönlich haftender Gesellschafter,2008-10-27,,Pascal,Powel,Gelsenkirchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wettannahme Herfet Emmerich e.K.,2558967,2018-06-23T10:52:37Z,R1304_HRA4378,de/R1304_HRA4378,currently registered,de,Christoffelstr.,Christoffelstr.,,,Kleve,HRA,North Rhine-Westphalia,4378,Kleve HRA 4378,Emmerich am Rhein,,,true,true,true,false,true,true,true,,,Tim Herfet,person,Inhaber,2015-06-12,,Tim,Herfet,Meerbusch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC Technology GmbH,2559001,2018-06-23T10:53:47Z,D4501V_HRB4379,de/D4501V_HRB4379,currently registered,de,Hofer Str.,Hofer Str.,,,Hof,HRB,Bavaria,4379,Hof HRB 4379,Selbitz,,,true,true,true,false,true,true,true,,,Bernd Schneider,person,Geschäftsführer,2008-08-25,,Bernd,Schneider,Bad Steben,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elektro Gerth-GmbH,2559017,2018-06-23T10:53:47Z,X1721R_HRB4379HL,de/X1721R_HRB4379HL,currently registered,de,Geniner Str.,Geniner Str.,,,Lübeck,HRB,Schleswig-Holstein,4379,Lübeck HRB 4379 HL,Lübeck,,HL,true,true,true,true,true,true,true,,,Sabine geborene Gerth Bluhm,person,Geschäftsführer,2014-11-18,,Sabine geborene Gerth,Bluhm,Lübeck,,Kaufm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWT Erdwärmetechnik GmbH,2559022,2018-06-23T10:53:47Z,D3101V_HRB4379,de/D3101V_HRB4379,currently registered,de,Bergmannstr.,Bergmannstr.,,,Amberg,HRB,Bavaria,4379,Amberg HRB 4379,Maxhütte-Haidhof,,,true,true,true,false,true,true,true,,,Theodor Sebast,person,Geschäftsführer,2009-04-30,,Theodor,Sebast,Maxhütte-Haidhof,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tobias Sebast,person,Geschäftsführer,2017-07-19,,Tobias,Sebast,Maxhütte-Haidhof,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gefeba Elektro Gesellschaft mit beschränkter Haftung,2559036,2018-06-23T10:53:47Z,R2507_HRB4379,de/R2507_HRB4379,currently registered,de,Dechenstr.,Dechenstr.,,,Gelsenkirchen,HRB,North Rhine-Westphalia,4379,Gelsenkirchen HRB 4379,Gladbeck,,,true,true,true,true,true,true,true,,,Dirk Rhode,person,Prokurist,,2009-09-17,Dirk,Rhode,Oberhausen,true,,,,,GEFEBA Elektro GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Günter Gajzler,person,Prokurist,,2014-07-03,Günter,Gajzler,Duisburg,true,,,,,INDUSTRIE-SERVICE=ELEKTRIK= Gesellschaft mit beschränkter Haftung,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dirk Rhode,person,Geschäftsführer,,2015-01-15,Dirk,Rhode,Oberhausen,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manfred Gautzsch,person,Prokurist,,2015-01-15,Manfred,Gautzsch,Duisburg,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudio Aloisi,person,Geschäftsführer,2014-07-03,,Claudio,Aloisi,Dinslaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dirk Rhode,person,Geschäftsführer,2009-09-17,,Dirk,Rhode,Oberhausen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin Paulat,person,Geschäftsführer,2009-09-17,,Martin,Paulat,Castrop-Rauxel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingenieurbüro Weber GmbH & Co. KG,2559054,2018-06-23T10:53:47Z,D4301V_HRA4379,de/D4301V_HRA4379,currently registered,de,Schillerstr.,Schillerstr.,,,Bayreuth,HRA,Bavaria,4379,Bayreuth HRA 4379,Stadtsteinach,,,true,true,true,false,true,true,true,,,"Weber Verwaltungs GmbH, Stadtsteinach (Amtsgericht Bayreuth HRB 6773), einzelvertretungsberechtigt",company,Persönlich haftender Gesellschafter,2018-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordhoff-Apotheke Klaus-Henning Drevenstedt e.K.,2559088,2018-06-23T10:53:47Z,W1215_HRA4379,de/W1215_HRA4379,currently registered,de,Wilhelmstr.,Wilhelmstr.,,,Stendal,HRA,Saxony-Anhalt,4379,Stendal HRA 4379,Gardelegen,,,true,true,true,false,true,true,true,,,Klaus-Henning Drevenstedt,person,Inhaber,2016-01-20,,Klaus-Henning,Drevenstedt,Velpke,,,,,,Burg-Apotheke Klaus-Henning Drevenstedt e.K.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klaus-Henning Drevenstedt,person,Inhaber,2014-06-26,,Klaus-Henning,Drevenstedt,Wolfsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westdeutsche Lotterie GmbH & Co. OHG,2559134,2018-06-23T10:53:47Z,R2713_HRA4379,de/R2713_HRA4379,currently registered,de,Weseler Str.,Weseler Str.,,,Münster,HRA,North Rhine-Westphalia,4379,Münster HRA 4379,Münster,,,true,true,true,true,true,true,true,,,"NRW BANK, Münster (Amtsgericht Münster HR A 5300), von der Vertretung ausgeschlossen.",company,Persönlich haftender Gesellschafter,2005-02-09,,,,,,,,,,"Westdeutsche Lotterie GmbH & Co, OHG",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westdeutsche Lotterie GmbH & Co.,,,,,,,,,,,,,,,,,,,,,,,,
Aldi GmbH & Co. Kommanditgesellschaft,2559153,2018-06-23T10:55:00Z,R1901_HRA4380,de/R1901_HRA4380,currently registered,de,Runtestr.,Runtestr.,,,Arnsberg,HRA,North Rhine-Westphalia,4380,Arnsberg HRA 4380,Werl,,,true,true,true,true,true,true,true,,,Hartmut Ziegler,person,Prokurist,,2007-09-11,Hartmut,Ziegler,Soest,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berthold Albrecht,person,Prokurist,,2008-02-14,Berthold,Albrecht,Essen-Bredeney,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter Wink,person,Prokurist,,2013-01-08,Walter,Wink,Hagen,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ludwig Furmaniak,person,Prokurist,,2016-01-20,Ludwig,Furmaniak,Warstein-Allagen,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bannert GmbH, Werl (Amtsgericht Arnsberg HRB 4107).",company,Persönlich haftender Gesellschafter,2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJH Service GmbH,2559190,2018-06-23T10:55:00Z,R2307_HRB4380,de/R2307_HRB4380,removed,de,Bismarckstr.,Bismarckstr.,,,Lemgo,HRB,North Rhine-Westphalia,4380,Lemgo HRB 4380,Detmold,,,false,true,true,true,false,true,true,,,Klaus Erfmann,person,Geschäftsführer,,2010-05-26,Klaus,Erfmann,Detmold,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunter Fritzen,person,Prokurist,,2012-03-26,Gunter,Fritzen,Detmold,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ralf Sugland,person,Geschäftsführer,,2012-03-26,Ralf,Sugland,Bad Salzuflen,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jörg Höhner,person,Geschäftsführer,,2013-03-01,Jörg,Höhner,Schmitten,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anke : Hens,person,Liquidator,,2015-06-01,Anke,: Hens,Frankfurt,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anke Hens,person,Geschäftsführer,2013-03-01,,Anke,Hens,Frankfurt,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anke Hens,person,Liquidator,2014-02-18,,Anke,Hens,Frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunter Fritzen,person,Prokurist,2010-05-26,,Gunter,Fritzen,Detmold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jörg Höhner,person,Geschäftsführer,2012-03-26,,Jörg,Höhner,Schmitten,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ralf Sugland,person,Geschäftsführer,2010-05-26,,Ralf,Sugland,Bad Salzuflen,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ralf Sugland,person,Liquidator,2015-06-01,,Ralf,Sugland,Bad Salzuflen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECARYS GmbH,2559195,2018-06-23T10:55:00Z,G1207_HRB4380,de/G1207_HRB4380,currently registered,de,"Flugplatzstraße F2, Nr. 6 - 7, 15344 Strausberg",Flugplatzstraße F2,Nr.,"6 - 7, 15344 Strausberg",Frankfurt/Oder,HRB,Brandenburg,4380,Frankfurt/Oder HRB 4380,Strausberg,,,true,true,true,true,true,true,true,,,Reiner Doctor Stemme,person,Geschäftsführer,,2012-12-07,Reiner,Doctor Stemme,,true,,1,,,UMS Umwelt-Meßflug-Systeme GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Joseph Masschelein,person,Geschäftsführer,2012-12-07,,Paul Joseph,Masschelein,Schilde,,Belgien,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Froitzheim Verwaltungs-KG,2559208,2018-06-23T10:55:00Z,T2210V_HRA4380,de/T2210V_HRA4380,currently registered,de,Gebrüder-Pauken-Str.,Gebrüder-Pauken-Str.,,,Koblenz,HRA,Rhineland-Palatinate,4380,Koblenz HRA 4380,Mülheim-Kärlich,,,true,true,true,true,true,true,true,,,Elvira Froitzheim,person,Prokurist,2010-09-09,,Elvira,Froitzheim,Koblenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Food GmbH,2559269,2018-06-23T10:55:00Z,R2204_HRB4380,de/R2204_HRB4380,currently registered,de,Heinrich-Hertz-Str.,Heinrich-Hertz-Str.,,,Recklinghausen,HRB,North Rhine-Westphalia,4380,Recklinghausen HRB 4380,Recklinghausen,,,true,true,true,true,true,true,true,,,Michael Rhode,person,Geschäftsführer,,2009-07-22,Michael,Rhode,Oer-Erkenschwick,true,,,,,Pro Food GmbH.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theodorus van Aalst,person,Geschäftsführer,,2014-04-03,Theodorus,van Aalst,SG Loo / Niederlande,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Rhode,person,Prokurist,,2017-10-17,Michael,Rhode,Oer-Erkenschwick,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Rhode,person,Geschäftsführer,2005-08-03,,Michael,Rhode,Oer-Erkenschwick,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Rhode,person,Prokurist,2009-07-22,,Michael,Rhode,Oer-Erkenschwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theodorus van Aalst,person,Geschäftsführer,2009-07-22,,Theodorus,van Aalst,SG Loo,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProPos UG (haftungsbeschränkt),2559270,2018-06-23T10:55:00Z,D3101V_HRB4380,de/D3101V_HRB4380,removed,de,Wiesenstr.,Wiesenstr.,,,Amberg,HRB,Bavaria,4380,Amberg HRB 4380,Poppenricht,,,false,true,true,false,false,true,true,,,Verena Voges,person,Geschäftsführer,2009-04-30,,Verena,Voges,Poppenricht,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verena Voges,person,Liquidator,2011-11-22,,Verena,Voges,Poppenricht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIMEX GmbH Marketing & Vertrieb,2559275,2018-06-23T10:55:00Z,P1103_HRB4380,de/P1103_HRB4380,currently registered,de,Gertrudenstr.,Gertrudenstr.,,,Braunschweig,HRB,Lower Saxony,4380,Braunschweig HRB 4380,Braunschweig,,,true,true,true,true,false,true,true,,,Alwin-Christian Lauschmann,person,Geschäftsführer,,2016-07-07,Alwin-Christian,Lauschmann,Braunschweig,true,,,Kaufmann,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beata Maria Lauschmann,person,Geschäftsführer,2016-07-07,,Beata Maria,Lauschmann,Braunschweig,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABID Generationenbau GmbH,2559313,2018-06-23T10:56:09Z,M1706_HRB4381,de/M1706_HRB4381,currently registered,de,Brüsseler Str.,Brüsseler Str.,,,Limburg,HRB,Hesse,4381,Limburg HRB 4381,Limburg,,,true,true,true,false,true,true,true,,,Georg Weimer,person,Geschäftsführer,2009-05-29,,Georg,Weimer,Villmar/Lahn,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domo Med. Kühnehöfe GmbH & Co. KG,2559351,2018-06-23T10:56:09Z,R2507_HRA4381,de/R2507_HRA4381,currently registered,de,Ludwig-Erhard-Str.,Ludwig-Erhard-Str.,,,Gelsenkirchen,HRA,North Rhine-Westphalia,4381,Gelsenkirchen HRA 4381,Gelsenkirchen,,,true,true,true,false,true,true,true,,,"PFMG GmbH, Gelsenkirchen (Amtsgericht Gelsenkirchen HRB 9152).",company,Persönlich haftender Gesellschafter,2008-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eißfeld Objektgesellschaft Garmisch-Partenkirchen mbH,2559352,2018-06-23T10:56:09Z,D3201V_HRB4381,de/D3201V_HRB4381,currently registered,de,Nürnberger Str.,Nürnberger Str.,,,Ansbach,HRB,Bavaria,4381,Ansbach HRB 4381,Gunzenhausen,,,true,true,true,false,true,true,true,,,Uli Buntfuß,person,Geschäftsführer,,2007-10-29,Uli,Buntfuß,Garmisch-Partenkirchen,true,,,,,Paulus & Heidebroek Gesellschaft mit beschränkter Haftung,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Eißfeld,person,Geschäftsführer,2007-10-29,,Andreas,Eißfeld,Gunzenhausen,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LK - Logistik Verwaltungs GmbH,2559402,2018-06-23T10:56:09Z,T2101V_HRB4381,de/T2101V_HRB4381,currently registered,de,Benzstr.,Benzstr.,,,Bad Kreuznach,HRB,Rhineland-Palatinate,4381,Bad Kreuznach HRB 4381,Kastellaun,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer Verwaltungs-GmbH,2559411,2018-06-23T10:56:09Z,P2613_HRB4381,de/P2613_HRB4381,removed,de,Bremer Str.,Bremer Str.,,,Tostedt,HRB,Lower Saxony,4381,Tostedt HRB 4381,Rosengarten,,,false,true,true,true,false,true,true,,,Ralf : Meyer,person,Liquidator,2009-12-28,,Ralf,: Meyer,Rosengarten,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sobiella Elektrodienst e.K.,2559445,2018-06-23T10:56:09Z,D4501V_HRA4381,de/D4501V_HRA4381,removed,de,Zellerstr.,Zellerstr.,,,Hof,HRA,Bavaria,4381,Hof HRA 4381,Weißenstadt,,,false,true,false,false,false,true,true,,,Frank Sobiella,person,Inhaber,2011-12-22,,Frank,Sobiella,Weißenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserkraftwerk Blankenberg GmbH,2559472,2018-06-23T10:56:09Z,D4501V_HRB4381,de/D4501V_HRB4381,currently registered,de,"Hölle, Doctor-Fritz-Wiede-Str.",Hölle,Doctor-Fritz-Wiede-Str.,,Hof,HRB,Bavaria,4381,Hof HRB 4381,Naila,,,true,true,true,false,true,true,true,,,Stefan Geßlein,person,Geschäftsführer,2008-08-26,,Stefan,Geßlein,Marktgraitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFT Wärme- und Oberflächenbehandlung GmbH,2559473,2018-06-23T10:56:09Z,D3101V_HRB4381,de/D3101V_HRB4381,currently registered,de,Irlstr.,Irlstr.,,,Amberg,HRB,Bavaria,4381,Amberg HRB 4381,Gebenbach,,,true,true,true,false,true,true,true,,,Franz Wittich,person,Geschäftsführer,2009-05-08,,Franz,Wittich,Gebenbach,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
